"“Live in the sunshine, swim the sea, drink the wild air.”",– Ralph Waldo Emerson
"“Let us always meet each other with smile, for the smile is the beginning of love.”",– Mother Theresa
“Be happy for this moment. This moment is your life.”,– Gandhi
"“Success is just a war of attrition. Sure, there’s an element of talent you should probably possess. But if you just stick around long enough, eventually something is going to happen.”",– Dax Shepard
"“Success? I don’t know what that word means. I’m happy. But success, that goes back to what in somebody’s eyes success means. For me, success is inner peace. That’s a good day for me.”",– Denzel Washington
"“Imagination was given to man to compensate him for what he is not, and a sense of humor was provided to console him for what he is.”",– Oscar Wilde
"“Yesterday is history, tomorrow is a mystery, today is a gift of God, which is why we call it the present.”",– Bil Keane
“Love is an irresistible desire to be irresistibly desired.”,– Robert Frost
"“Success is not final, failure is not fatal: it is the courage to continue that counts.”",– Winston Churchill
"“When I dare to be powerful – to use my strength in the service of my vision, then it becomes less and less important whether I am afraid.”",– Audre Lorde
"“When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”",– Helen Keller
“A kiss is a lovely trick designed by nature to stop speech when words become superfluous.”,– Ingrid Bergman
“I’m a success today because I had a friend who believed in me and I didn’t have the heart to let him down.”,– Abraham Lincoln
“Do not go where the path may lead; go instead where there is no path and leave a trail.”,– Ralph Waldo Emerson
“Success is how high you bounce when you hit bottom.”,– George S. Patton
"“Your time is limited, so don’t waste it living someone else’s life. Don’t be trapped by dogma – which is living with the results of other people’s thinking.”",– Steve Jobs
“A friend is someone who gives you total freedom to be yourself.”,– Jim Morrison
"“If you want to be happy, be.”",– Leo Tolstoy
"“Better to have loved and lost, than to have never loved at all.”",– St. Augustine
“Those who dare to fail miserably can achieve greatly.”,– John F. Kennedy
"“Would you like me to give you a formula for success? It’s quite simple, really: Double your rate of failure. You are thinking of failure as the enemy of success. But it isn’t at all. You can be discouraged by failure or you can learn from it, so go ahead and make mistakes. Make all you can. Because remember that’s where you will find success.”",– Thomas J. Watson
"“Every great dream begins with a dreamer. Always remember, you have within you the strength, the patience, and the passion to reach for the stars to change the world.”",– Harriet Tubman
“Only put off until tomorrow what you are willing to die having left undone.”,  Pablo Picasso
“Twenty years from now you will be more disappointed by the things that you didn’t do than by the ones you did do.”,– Mark Twain
"“The No. 1 reason people fail in life is because they listen to their friends, family, and neighbors.”",– Napoleon Hill
"“If life were predictable it would cease to be life, and be without flavor.”",– Eleanor Roosevelt
“Challenges are what make life interesting and overcoming them is what makes life meaningful.”,– Joshua J. Marine
“The first step toward success is taken when you refuse to be a captive of the environment in which you first find yourself.”,– Mark Caine
“I never knew how to worship until I knew how to love.”,– Henry Ward Beecher
“Life would be tragic if it weren’t funny.”,– Pablo Picasso
“It had long since come to my attention that people of accomplishment rarely sat back and let things happen to them. They went out and happened to things.”,– Leonardo Da Vinci
“You’re not obligated to win. You’re obligated to keep trying. To the best you can do everyday.”,– Jason Mraz
"“We are what we repeatedly do; excellence, then, is not an act but a habit.”",– Aristotle
"“The successful warrior is the average man, with laser-like focus.”",– Bruce Lee
“You miss 100 percent of the shots you never take.”,– Wayne Gretzky
